ASVID	Taxon	ScientificName_unique
3c6c9829663c82cd91e9c3cb88e04d82	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__metagenome	g__Saccharimonadales_isolate
f1ddbee202f4213ffcf39dea402bd01e	d__Bacteria; p__Cyanobacteria; c__Sericytochromatia; o__Sericytochromatia; f__Sericytochromatia; g__Sericytochromatia; s__unidentified	s__unidentified.1
6ed548357847570d6f87f2af3fc269ed	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__GWA2-38-13b; f__GWA2-38-13b; g__GWA2-38-13b; s__uncultured_bacterium	g__GWA2-38-13b_isolate
a284cd0d08abae3ef0e040fc44ada7d8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium	g__Chryseobacterium_unknown.89
80712753e63be413f9ec76ccb40c3aa9	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Candidatus_Peribacteria; f__Candidatus_Peribacteria; g__Candidatus_Peribacteria; s__Candidatus_Peribacteria	s__Candidatus_Peribacteria
c2ae7664b712d10ccee41182f6c3729e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	g__Pseudomonas_unknown.564
72479755b8fabed331b16ec469fd162d	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__ZOR0006; s__uncultured_bacterium	g__ZOR0006_isolate
4795f0bf29aac71a42ab6137a729272a	d__Bacteria; p__Firmicutes; c__Thermoanaerobacteria; o__Thermoanaerobacterales; f__Family_III; g__Thermoanaerobacterium	g__Thermoanaerobacterium_unknown
514862ae465cb0128b310d029f439253	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__metagenome	g__Saccharimonadales_isolate.1
6a712e7e9cd86748e4c7920709851d73	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__BIrii41; g__BIrii41; s__metagenome	g__BIrii41_isolate
b933bff3287aad56d00cdb836e3557f7	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae; g__Neochlamydia; s__metagenome	g__Neochlamydia_isolate
1ab68e65997f8fa4d2c1f6b9d8ecc425	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	g__Bacillus_unknown.2
e88bdd9c52638c7bf6b2d5e0b251fad3	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Azambacteria; f__Candidatus_Azambacteria; g__Candidatus_Azambacteria	g__Candidatus_Azambacteria_unknown
5c35c9c4620455c1962379e7d20c6ac9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; s__uncultured_bacterium	f__Saprospiraceae_isolate.1
6235a82ee541d33d7d8069c9b92ebf81	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Prosthecobacter; s__metagenome	g__Prosthecobacter_isolate.1
9b51d7c5c3598696c5ba1052430b947d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Kocuria	g__Kocuria_unknown.2
e3bf60939712aba690415d69ef61bce4	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__SM1A02; s__metagenome	g__SM1A02_isolate
