SampleID	JarID	RichLevel	introRich	Rep	DateStart	Inhibitory	Type	13C	20A	2E	2F	2H	32E	33B	33D	34B	34F	35A	35E	37E	37H	45D	50A	50B	BTB_45	BTB_47	20C	20D	21C	24C	24D	24L	25A	25C	32G	35B	36A	36E	36G	40A	40B	45E	47C	49C	54G	BTB_28	BTB_59	volPellet	cClean	sampleID_qPCR
Inhib_2020-10-05_10_Rep11	13	10	9	Rep11	2020-10-05	Inhib	CV	TRUE	TRUE	NA	NA	NA	TRUE	TRUE	NA	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	R11_J13_Pre
Non_2020-10-05_1_Rep11	21	1	1	Rep11	2020-10-05	Non	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J21_Bd
Non_2020-10-05_1_Rep11	16	1	1	Rep11	2020-10-05	Non	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J16_Pre
Non_2020-10-05_3_Rep11	25	3	3	Rep11	2020-10-05	Non	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J25_Bd
Non_2020-10-05_3_Rep11	28	3	3	Rep11	2020-10-05	Non	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R11_J28_Pre
Non_2020-10-05_10_Rep11	24	10	9	Rep11	2020-10-05	Non	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	NA	TRUE	NA	TRUE	NA	NA	NA	TRUE	TRUE	NA	NA	TRUE	NA	TRUE	NA	TRUE	NA	FALSE	R11_J24_Bd
Non_2020-10-05_10_Rep11	10	10	9	Rep11	2020-10-05	Non	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	NA	TRUE	NA	TRUE	NA	NA	NA	TRUE	TRUE	NA	NA	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	R11_J10_Pre
Con_2020-10-05_0_Rep12	12	0	0	Rep12	2020-10-05	Con	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R12_J12_Bd
Con_2020-10-05_0_Rep12	22	0	0	Rep12	2020-10-05	Con	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R12_J22_Pre
Inhib_2020-10-05_1_Rep12	5	1	1	Rep12	2020-10-05	Inhib	Bd	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R12_J5_Bd
