Run	Date	Well	Well_Type	dR_Last	Threshold_dR	Ct_dR	Quantity_copies	RSq_dR	Slope_dR	Efficiency_percent
Bd_lastrow	17-Nov-20	E4	Unknown	54251.592	6113.388	25.91	1.46E+03	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	F1	Unknown	54378.842	6113.388	21.66	2.37E+04	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	F2	Unknown	53422.394	6113.388	24.82	2.97E+03	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	F4	Unknown	52702.844	6113.388	21.83	2.12E+04	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	G1	Unknown	53961.737	6113.388	25.36	2.08E+03	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	G2	Unknown	54696.841	6113.388	21.85	2.09E+04	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	G4	Unknown	52531.311	6113.388	29.21	1.67E+02	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	H1	Unknown	54216.464	6113.388	28.98	1.94E+02	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	H2	Unknown	53616.449	6113.388	26.25	1.16E+03	0.988	-3.508	92.8
Bd_lastrow	17-Nov-20	H4	Unknown	1508.845	6113.388	NA	NA	0.988	-3.508	92.8
Bd_trips	20-Nov-20	A2	Standard	51237.411	7530.118	8.48	1.95E+08	1	-3.444	95.1
Bd_trips	20-Nov-20	A3	Unknown	51842.513	7530.118	23.55	7.95E+03	1	-3.444	95.1
Bd_trips	20-Nov-20	A4	Unknown	50689.907	7530.118	27.04	7.73E+02	1	-3.444	95.1
Bd_trips	20-Nov-20	A5	Unknown	51329.898	7530.118	8.53	1.83E+08	1	-3.444	95.1
Bd_trips	20-Nov-20	B2	Standard	46054.965	7530.118	11.97	1.95E+07	1	-3.444	95.1
Bd_trips	20-Nov-20	B3	Unknown	51474.88	7530.118	27.38	6.13E+02	1	-3.444	95.1
Bd_trips	20-Nov-20	B4	Unknown	51915.134	7530.118	26.24	1.32E+03	1	-3.444	95.1
Bd_trips	20-Nov-20	B5	Unknown	45128.27	7530.118	12.03	1.76E+07	1	-3.444	95.1
Bd_trips	20-Nov-20	C2	Standard	50322.452	7530.118	15.34	1.95E+06	1	-3.444	95.1
Bd_trips	20-Nov-20	C3	NTC	50826.821	7530.118	43.56	1.23E-02	1	-3.444	95.1
Bd_trips	20-Nov-20	C4	Unknown	51408.169	7530.118	18.04	3.17E+05	1	-3.444	95.1
Bd_trips	20-Nov-20	C5	Unknown	48799.261	7530.118	15.23	2.07E+06	1	-3.444	95.1
Bd_trips	20-Nov-20	D2	Standard	54316.763	7530.118	18.45	1.95E+05	1	-3.444	95.1
Bd_trips	20-Nov-20	D3	Unknown	53666.525	7530.118	19.2	1.46E+05	1	-3.444	95.1
Bd_trips	20-Nov-20	D4	Unknown	53366.744	7530.118	19.39	1.28E+05	1	-3.444	95.1
Bd_trips	20-Nov-20	D5	Unknown	52338.324	7530.118	18.59	2.20E+05	1	-3.444	95.1
Bd_trips	20-Nov-20	E2	Standard	52239.357	7530.118	22.17	1.95E+04	1	-3.444	95.1
Bd_trips	20-Nov-20	E3	Unknown	51949.41	7530.118	26.74	9.46E+02	1	-3.444	95.1
Bd_trips	20-Nov-20	E4	Unknown	52677.565	7530.118	23.19	1.01E+04	1	-3.444	95.1
Bd_trips	20-Nov-20	E5	Unknown	52506.203	7530.118	21.99	2.26E+04	1	-3.444	95.1
Bd_trips	20-Nov-20	F2	Standard	52435.118	7530.118	25.81	1.95E+03	1	-3.444	95.1
Bd_trips	20-Nov-20	F3	Unknown	48739.537	7530.118	18.04	3.17E+05	1	-3.444	95.1
Bd_trips	20-Nov-20	F4	Unknown	35108.833	7530.118	46.84	1.38E-03	1	-3.444	95.1
Bd_trips	20-Nov-20	F5	Unknown	52405.766	7530.118	25.97	1.57E+03	1	-3.444	95.1
Bd_trips	20-Nov-20	G2	Standard	53489.803	7530.118	29.14	1.95E+02	1	-3.444	95.1
Bd_trips	20-Nov-20	G3	Unknown	52463.181	7530.118	26.18	1.37E+03	1	-3.444	95.1
Bd_trips	20-Nov-20	G4	Unknown	50376.585	7530.118	32.15	2.54E+01	1	-3.444	95.1
Bd_trips	20-Nov-20	G5	Unknown	52885.034	7530.118	29.33	1.67E+02	1	-3.444	95.1
Bd_trips	20-Nov-20	H2	Standard	53276.816	7530.118	32.52	1.95E+01	1	-3.444	95.1
Bd_trips	20-Nov-20	H3	Unknown	50077.195	7530.118	32.67	1.79E+01	1	-3.444	95.1
Bd_trips	20-Nov-20	H4	NTC	1656.551	7530.118	NA	NA	1	-3.444	95.1
Bd_trips	20-Nov-20	H5	Unknown	50172.055	7530.118	32.73	1.72E+01	1	-3.444	95.1
Bact_trips	21-Nov-20	A1	Unknown	27652.296	5327.053	10.56	6.68E+08	0.943	-2.774	129.3
Bact_trips	21-Nov-20	A2	Standard	32526.211	5327.053	10.73	1.95E+08	0.943	-2.774	129.3
Bact_trips	21-Nov-20	B1	Unknown	37460.538	5327.053	11.93	2.14E+08	0.943	-2.774	129.3
Bact_trips	21-Nov-20	B2	Standard	36816.121	5327.053	14.15	1.95E+07	0.943	-2.774	129.3
Bact_trips	21-Nov-20	C1	NTC	3894.796	5327.053	NA	NA	0.943	-2.774	129.3
Bact_trips	21-Nov-20	C2	Standard	35969.935	5327.053	17.69	1.95E+06	0.943	-2.774	129.3
Bact_trips	21-Nov-20	D1	Unknown	38705.788	5327.053	22.07	4.71E+04	0.943	-2.774	129.3
Bact_trips	21-Nov-20	D2	Standard	37575.661	5327.053	21.09	1.95E+05	0.943	-2.774	129.3
Bact_trips	21-Nov-20	E1	Unknown	37361.307	5327.053	12.71	1.12E+08	0.943	-2.774	129.3
Bact_trips	21-Nov-20	E2	Standard	39649.305	5327.053	24.87	1.95E+04	0.943	-2.774	129.3
Bact_trips	21-Nov-20	F1	Unknown	38845.459	5327.053	22.1	4.63E+04	0.943	-2.774	129.3
Bact_trips	21-Nov-20	F2	Standard	37918.951	5327.053	28.08	1.95E+03	0.943	-2.774	129.3
Bact_trips	21-Nov-20	G1	Unknown	33022.067	5327.053	11.33	3.52E+08	0.943	-2.774	129.3
Bact_trips	21-Nov-20	G2	Standard	36822.69	5327.053	28.92	1.95E+02	0.943	-2.774	129.3
Bact_trips	21-Nov-20	H1	NTC	38621.018	5327.053	29.51	9.84E+01	0.943	-2.774	129.3
Bact_trips	21-Nov-20	H2	Standard	40413.758	5327.053	28.47	1.95E+01	0.943	-2.774	129.3
