Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 1	R	 3	 3	SYBR	  1	    62638	70.0
 1	R	 3	 3	SYBR	  1	    62522	70.2
 1	R	 3	 3	SYBR	  1	    62589	70.4
 1	R	 3	 3	SYBR	  1	    62480	70.5
 1	R	 3	 3	SYBR	  1	    62468	70.5
 1	R	 3	 3	SYBR	  1	    62492	70.7
 1	R	 3	 3	SYBR	  1	    62381	70.9
 1	R	 3	 3	SYBR	  1	    62289	71.0
 1	R	 3	 3	SYBR	  1	    62246	71.0
 1	R	 3	 3	SYBR	  1	    62305	71.2
 1	R	 3	 3	SYBR	  1	    62308	71.4
 1	R	 3	 3	SYBR	  1	    62292	71.5
 1	R	 3	 3	SYBR	  1	    62204	71.5
 1	R	 3	 3	SYBR	  1	    62247	71.7
 1	R	 3	 3	SYBR	  1	    62100	71.9
 1	R	 3	 3	SYBR	  1	    62206	72.0
 1	R	 3	 3	SYBR	  1	    62121	72.0
 1	R	 3	 3	SYBR	  1	    61971	72.2
 1	R	 3	 3	SYBR	  1	    61972	72.2
 1	R	 3	 3	SYBR	  1	    61948	72.5
 1	R	 3	 3	SYBR	  1	    61905	72.5
 1	R	 3	 3	SYBR	  1	    61838	72.7
 1	R	 3	 3	SYBR	  1	    61889	72.7
 1	R	 3	 3	SYBR	  1	    61824	72.9
 1	R	 3	 3	SYBR	  1	    61906	73.0
 1	R	 3	 3	SYBR	  1	    61793	73.2
 1	R	 3	 3	SYBR	  1	    61758	73.2
 1	R	 3	 3	SYBR	  1	    61777	73.4
 1	R	 3	 3	SYBR	  1	    61651	73.5
 1	R	 3	 3	SYBR	  1	    61632	73.5
 1	R	 3	 3	SYBR	  1	    61639	73.7
 1	R	 3	 3	SYBR	  1	    61596	73.9
 1	R	 3	 3	SYBR	  1	    61626	74.0
 1	R	 3	 3	SYBR	  1	    61510	74.0
 1	R	 3	 3	SYBR	  1	    61402	74.2
