Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
1	R	3	2	SYBR	1	19378	89
1	R	3	2	SYBR	1	18953	89.2
1	R	3	2	SYBR	1	18396	89.4
1	R	3	2	SYBR	1	17935	89.5
1	R	3	2	SYBR	1	17656	89.5
1	R	3	2	SYBR	1	17458	89.7
1	R	3	2	SYBR	1	17188	89.7
1	R	3	2	SYBR	1	17171	90
1	R	3	2	SYBR	1	16919	90
1	R	3	2	SYBR	1	16667	90.2
1	R	3	2	SYBR	1	16283	90.4
1	R	3	2	SYBR	1	15814	90.5
1	R	3	2	SYBR	1	15680	90.5
1	R	3	2	SYBR	1	15319	90.7
1	R	3	2	SYBR	1	14926	90.7
1	R	3	2	SYBR	1	14614	90.9
1	R	3	2	SYBR	1	14150	91
1	R	3	2	SYBR	1	13678	91.2
1	R	3	2	SYBR	1	13383	91.2
1	R	3	2	SYBR	1	12881	91.4
1	R	3	2	SYBR	1	12435	91.5
1	R	3	2	SYBR	1	11992	91.7
1	R	3	2	SYBR	1	11549	91.7
1	R	3	2	SYBR	1	11148	91.9
1	R	3	2	SYBR	1	10621	92
1	R	3	2	SYBR	1	10304	92.2
1	R	3	2	SYBR	1	10107	92.2
1	R	3	2	SYBR	1	9600	92.4
1	R	3	2	SYBR	1	9379	92.5
1	R	3	2	SYBR	1	9175	92.5
1	R	3	2	SYBR	1	8909	92.7
1	R	3	2	SYBR	1	8639	92.9
1	R	3	2	SYBR	1	8463	93
1	R	3	2	SYBR	1	8443	93
1	R	3	2	SYBR	1	8344	93.2
1	R	3	2	SYBR	1	8191	93.4
1	R	3	2	SYBR	1	8058	93.5
1	R	3	2	SYBR	1	7958	93.7
1	R	3	2	SYBR	1	7995	93.7
1	R	3	2	SYBR	1	7788	93.7
1	R	3	2	SYBR	1	7806	94
1	R	3	2	SYBR	1	7764	94
1	R	3	2	SYBR	1	7804	94.2
1	R	3	2	SYBR	1	7663	94.4
1	R	3	2	SYBR	1	7579	94.4
1	R	3	2	SYBR	1	7599	94.5
1	R	3	2	SYBR	1	7559	94.7
1	R	3	2	SYBR	1	7418	95
1	R	3	3	SYBR	1	63735	54.2
1	R	3	3	SYBR	1	63803	54.5
1	R	3	3	SYBR	1	63812	54.6
1	R	3	3	SYBR	1	63922	54.7
1	R	3	3	SYBR	1	63753	54.7
1	R	3	3	SYBR	1	63843	55
1	R	3	3	SYBR	1	63878	55.1
1	R	3	3	SYBR	1	63929	55.2
1	R	3	3	SYBR	1	63946	55.2
1	R	3	3	SYBR	1	63839	55.5
1	R	3	3	SYBR	1	63776	55.6
1	R	3	3	SYBR	1	63911	55.7
1	R	3	3	SYBR	1	63801	55.7
1	R	3	3	SYBR	1	63978	56
1	R	3	3	SYBR	1	63912	56.1
1	R	3	3	SYBR	1	63902	56.2
1	R	3	3	SYBR	1	63998	56.2
1	R	3	3	SYBR	1	63945	56.6
1	R	3	3	SYBR	1	63938	56.7
1	R	3	3	SYBR	1	63879	56.7
1	R	3	3	SYBR	1	63976	57
1	R	3	3	SYBR	1	63932	57
1	R	3	3	SYBR	1	63937	57.2
1	R	3	3	SYBR	1	63951	57.2
1	R	3	3	SYBR	1	63977	57.2
1	R	3	3	SYBR	1	64043	57.5
1	R	3	3	SYBR	1	63876	57.6
1	R	3	3	SYBR	1	63896	57.7
1	R	3	3	SYBR	1	63950	57.7
1	R	3	3	SYBR	1	63855	58
1	R	3	3	SYBR	1	63936	58.1
1	R	3	3	SYBR	1	63904	58.2
1	R	3	3	SYBR	1	63880	58.2
1	R	3	3	SYBR	1	63875	58.5
1	R	3	3	SYBR	1	63946	58.6
1	R	3	3	SYBR	1	63881	58.7
1	R	3	3	SYBR	1	63974	58.7
1	R	3	3	SYBR	1	63954	58.8
1	R	3	3	SYBR	1	63885	59
1	R	3	3	SYBR	1	63864	59.1
1	R	3	3	SYBR	1	63924	59.2
1	R	3	3	SYBR	1	63970	59.2
1	R	3	3	SYBR	1	63931	59.5
1	R	3	3	SYBR	1	63884	59.6
1	R	3	3	SYBR	1	63938	59.7
1	R	3	3	SYBR	1	63871	59.7
1	R	3	3	SYBR	1	63832	60
1	R	3	3	SYBR	1	63925	60.1
1	R	3	3	SYBR	1	63860	60.2
1	R	3	3	SYBR	1	63873	60.2
1	R	3	3	SYBR	1	63794	60.5
1	R	3	3	SYBR	1	63958	60.6
1	R	3	3	SYBR	1	63958	60.7
1	R	3	3	SYBR	1	63948	60.7
1	R	3	3	SYBR	1	63881	61
1	R	3	3	SYBR	1	63853	61.1
1	R	3	3	SYBR	1	63955	61.2
1	R	3	3	SYBR	1	63922	61.2
1	R	3	3	SYBR	1	63870	61.5
1	R	3	3	SYBR	1	63910	61.6
1	R	3	3	SYBR	1	63897	61.7
1	R	3	3	SYBR	1	63928	61.7
1	R	3	3	SYBR	1	63976	61.8
1	R	3	3	SYBR	1	63771	62.1
1	R	3	3	SYBR	1	63923	62.2
1	R	3	3	SYBR	1	63872	62.2
1	R	3	3	SYBR	1	63912	62.3
1	R	3	3	SYBR	1	63939	62.6
1	R	3	3	SYBR	1	63958	62.7
1	R	3	3	SYBR	1	63851	62.7
1	R	3	3	SYBR	1	63993	62.7
1	R	3	3	SYBR	1	63899	63
1	R	3	3	SYBR	1	64035	63.1
1	R	3	3	SYBR	1	63832	63.2
1	R	3	3	SYBR	1	63970	63.2
1	R	3	3	SYBR	1	63998	63.5
1	R	3	3	SYBR	1	63942	63.6
1	R	3	3	SYBR	1	63983	63.7
1	R	3	3	SYBR	1	63892	63.7
1	R	3	3	SYBR	1	63963	64
